ts_bucket,station_id,bikes,ebikes,classic,docks,bikes_disabled,docks_disabled,is_renting,is_returning,last_reported,src
1788628800,e35c42c6-8b73-4528-b08d-c94b75624b40,4,0,4,14,1,0,1,1,1788628648,gha
1788628800,66dc0f8a-0aca-11e7-82f6-3863bb44ef7c,28,8,20,27,1,1,1,1,1788628640,gha
1788628800,18415ea7-efce-408d-bcb9-4693fb088dda,10,6,4,22,1,0,1,1,1788628642,gha
1788628800,c4e9905f-457b-4be0-a878-2aa53fa0b09b,4,2,2,18,2,0,1,1,1788628644,gha
1788628800,66dce8db-0aca-11e7-82f6-3863bb44ef7c,7,5,2,29,5,0,1,1,1788628657,gha
1788628800,66dd1f44-0aca-11e7-82f6-3863bb44ef7c,22,17,5,2,3,0,1,1,1788628663,gha
1788628800,84a7baff-415b-4ab9-a859-74c2801483ce,10,3,7,7,2,0,1,1,1788628685,gha
1788628800,1814548067447122618,33,15,18,2,0,0,1,1,1788628651,gha
1788628800,63a838a8-9acf-4ba1-91f5-c676f6ef2f7d,12,0,12,7,1,0,1,1,1788628651,gha
1788628800,66dd01c5-0aca-11e7-82f6-3863bb44ef7c,19,12,7,3,5,0,1,1,1788628650,gha
1788628800,66db6f2e-0aca-11e7-82f6-3863bb44ef7c,29,19,10,14,2,0,1,1,1788628692,gha
1788628800,1786700154621508184,17,6,11,11,1,0,1,1,1788628694,gha
1788628800,6d766daf-9298-4059-a329-1818582d495f,8,4,4,10,1,0,1,1,1788628695,gha
1788628800,66dbec40-0aca-11e7-82f6-3863bb44ef7c,24,3,21,28,3,0,1,1,1788628708,gha
1788628800,1871698223344654662,6,0,6,19,0,0,1,1,1788628705,gha
1788628800,66dced76-0aca-11e7-82f6-3863bb44ef7c,14,8,6,10,2,0,1,1,1788628706,gha
1788628800,f401cd5f-cb41-41f8-a857-4a4dfe778f94,13,2,11,10,3,0,1,1,1788628720,gha
1788628800,66dd1c7f-0aca-11e7-82f6-3863bb44ef7c,44,25,19,5,1,0,1,1,1788628721,gha
1788628800,66dbc37a-0aca-11e7-82f6-3863bb44ef7c,26,0,26,33,0,1,1,1,1788628718,gha
1788628800,66dc3782-0aca-11e7-82f6-3863bb44ef7c,26,16,10,1,3,0,1,1,1788628748,gha
1788628800,1871698348432996504,6,5,1,13,3,0,1,1,1788628744,gha
1788628800,66dd1d0f-0aca-11e7-82f6-3863bb44ef7c,27,9,18,1,3,0,1,1,1788628744,gha
1788628800,66dd17a5-0aca-11e7-82f6-3863bb44ef7c,46,31,15,2,2,0,1,1,1788628744,gha
1788628800,66dd2060-0aca-11e7-82f6-3863bb44ef7c,14,7,7,33,3,0,1,1,1788628745,gha
1788628800,1786698321265653818,29,9,20,5,2,0,1,1,1788628747,gha
