ts_bucket,station_id,bikes,ebikes,classic,docks,bikes_disabled,docks_disabled,is_renting,is_returning,last_reported,src
1788619800,1871698348432996504,11,7,4,9,2,0,1,1,1788619637,gha
1788619800,81bec993-29a5-4e70-8f60-eecdf16c7be4,14,10,4,16,0,0,1,1,1788619647,gha
1788619800,e35c42c6-8b73-4528-b08d-c94b75624b40,5,0,5,10,4,0,1,1,1788619664,gha
1788619800,c4e9905f-457b-4be0-a878-2aa53fa0b09b,5,3,2,16,3,0,1,1,1788619663,gha
1788619800,66db76a1-0aca-11e7-82f6-3863bb44ef7c,36,10,26,21,0,0,1,1,1788619663,gha
1788619800,18415ea7-efce-408d-bcb9-4693fb088dda,6,0,6,26,1,0,1,1,1788619658,gha
1788619800,f401cd5f-cb41-41f8-a857-4a4dfe778f94,13,2,11,11,2,0,1,1,1788619667,gha
1788619800,66dd217d-0aca-11e7-82f6-3863bb44ef7c,6,3,3,19,2,0,1,1,1788619677,gha
1788619800,66dd01c5-0aca-11e7-82f6-3863bb44ef7c,13,12,1,8,6,0,1,1,1788619683,gha
1788619800,66dc0f8a-0aca-11e7-82f6-3863bb44ef7c,40,13,27,15,1,1,1,1,1788619684,gha
1788619800,3a89411a-0bc6-4ba3-bc56-fab950c8eba1,20,0,20,1,0,0,1,1,1788619694,gha
1788619800,ab6aadd8-fa45-43aa-abea-c8e01ec5a0c8,7,0,7,12,2,0,1,1,1788619694,gha
1788619800,66dd1f44-0aca-11e7-82f6-3863bb44ef7c,23,16,7,3,1,0,1,1,1788619697,gha
1788619800,c7604869-5b55-40cf-812e-fc97901bdf14,28,18,10,13,3,0,1,1,1788619696,gha
1788619800,66db6f2e-0aca-11e7-82f6-3863bb44ef7c,25,11,14,18,2,0,1,1,1788619699,gha
1788619800,6d766daf-9298-4059-a329-1818582d495f,6,3,3,12,1,0,1,1,1788619713,gha
1788619800,457ea5d7-d643-4028-87db-46dee0b81555,10,4,6,25,5,0,1,1,1788619713,gha
1788619800,66dced76-0aca-11e7-82f6-3863bb44ef7c,18,11,7,7,1,0,1,1,1788619709,gha
1788619800,1871698223344654662,7,1,6,18,0,0,1,1,1788619723,gha
1788619800,66db9e99-0aca-11e7-82f6-3863bb44ef7c,7,5,2,4,1,0,1,1,1788619724,gha
1788619800,9394fb49-583f-4426-8d2f-a2b0ffb584d2,25,11,14,24,0,0,1,1,1788619730,gha
1788619800,66db93a1-0aca-11e7-82f6-3863bb44ef7c,0,0,0,0,32,3,0,0,1788619732,gha
1788619800,498d7e8e-5164-4f26-9ce6-399947d73b1a,5,4,1,9,3,0,1,1,1788619736,gha
1788619800,66dc3782-0aca-11e7-82f6-3863bb44ef7c,21,8,13,7,2,0,1,1,1788619738,gha
1788619800,75352ab4-8a31-4926-8b59-048a9e506452,14,8,6,3,0,0,1,1,1788619738,gha
1788619800,66de73fd-0aca-11e7-82f6-3863bb44ef7c,9,7,2,16,0,0,1,1,1788619740,gha
1788619800,d89dc10f-9be3-45a5-9c3c-06c04c963436,1,1,0,20,0,0,1,1,1788619739,gha
1788619800,66dc3ab9-0aca-11e7-82f6-3863bb44ef7c,53,5,48,5,5,0,1,1,1788619703,gha
1788619800,66dd1d0f-0aca-11e7-82f6-3863bb44ef7c,24,7,17,4,3,0,1,1,1788619707,gha
1788619800,1786700154621508184,15,6,9,13,1,0,1,1,1788619708,gha
1788619800,84a7baff-415b-4ab9-a859-74c2801483ce,11,5,6,5,2,1,1,1,1788619728,gha
1788619800,66dce8db-0aca-11e7-82f6-3863bb44ef7c,6,6,0,31,4,0,1,1,1788619727,gha
1788619800,63a838a8-9acf-4ba1-91f5-c676f6ef2f7d,17,5,12,2,1,0,1,1,1788619724,gha
1788619800,1786698974100683436,7,6,1,42,4,0,1,1,1788619742,gha
1788619800,66dd2060-0aca-11e7-82f6-3863bb44ef7c,29,24,5,22,0,0,1,1,1788619743,gha
1788619800,d11b9869-8964-4b79-aafc-4b60ad1b44c4,10,9,1,12,1,0,1,1,1788619744,gha
1788619800,1786697771181570266,28,9,19,13,2,0,1,1,1788619747,gha
