ts_bucket,station_id,bikes,ebikes,classic,docks,bikes_disabled,docks_disabled,is_renting,is_returning,last_reported,src
1788609000,66dbec40-0aca-11e7-82f6-3863bb44ef7c,46,17,29,7,2,0,1,1,1788608791,gha
1788609000,66dbc37a-0aca-11e7-82f6-3863bb44ef7c,54,27,27,5,0,1,1,1,1788608806,gha
1788609000,66de73fd-0aca-11e7-82f6-3863bb44ef7c,14,9,5,11,0,0,1,1,1788608798,gha
1788609000,1871698223344654662,8,2,6,17,0,0,1,1,1788608798,gha
1788609000,498d7e8e-5164-4f26-9ce6-399947d73b1a,1,1,0,13,3,0,1,1,1788608813,gha
1788609000,66dd2060-0aca-11e7-82f6-3863bb44ef7c,33,29,4,14,3,0,1,1,1788608815,gha
1788609000,f833d403-2cf5-424a-a3b3-0314a44b4a67,38,21,17,5,3,0,1,1,1788608815,gha
1788609000,1786697771181570266,23,5,18,18,2,0,1,1,1788608819,gha
1788609000,2100948436010992354,9,5,4,7,1,0,1,1,1788608818,gha
1788609000,d11b9869-8964-4b79-aafc-4b60ad1b44c4,20,20,0,2,1,0,1,1,1788608816,gha
1788609000,75352ab4-8a31-4926-8b59-048a9e506452,16,9,7,1,0,0,1,1,1788608817,gha
1788609000,66dce9b5-0aca-11e7-82f6-3863bb44ef7c,23,9,14,7,2,0,1,1,1788608822,gha
1788609000,1871698348432996504,16,12,4,6,1,0,1,1,1788608832,gha
1788609000,18415ea7-efce-408d-bcb9-4693fb088dda,15,6,9,17,1,0,1,1,1788608852,gha
1788609000,1786698321265653818,33,18,15,3,4,0,1,1,1788608851,gha
1788609000,66dd01c5-0aca-11e7-82f6-3863bb44ef7c,4,3,1,17,6,0,1,1,1788608850,gha
1788609000,1786698974100683436,11,8,3,38,4,0,1,1,1788608851,gha
1788609000,1814548067447122618,35,11,24,0,0,0,1,1,1788608859,gha
1788609000,f401cd5f-cb41-41f8-a857-4a4dfe778f94,22,11,11,2,2,0,1,1,1788608859,gha
1788609000,e35c42c6-8b73-4528-b08d-c94b75624b40,6,1,5,9,4,0,1,1,1788608861,gha
1788609000,bfe5e69d-89ff-48b3-bf20-80cbdfa443e0,50,41,9,2,2,0,1,1,1788608840,gha
1788609000,66dc3782-0aca-11e7-82f6-3863bb44ef7c,18,0,18,10,2,0,1,1,1788608837,gha
1788609000,9394fb49-583f-4426-8d2f-a2b0ffb584d2,35,18,17,14,0,0,1,1,1788608844,gha
1788609000,81bec993-29a5-4e70-8f60-eecdf16c7be4,13,9,4,15,2,0,1,1,1788608844,gha
1788609000,66dd217d-0aca-11e7-82f6-3863bb44ef7c,17,13,4,8,2,0,1,1,1788608845,gha
1788609000,457ea5d7-d643-4028-87db-46dee0b81555,27,19,8,8,4,0,1,1,1788608845,gha
1788609000,66dc0f8a-0aca-11e7-82f6-3863bb44ef7c,25,16,9,30,1,1,1,1,1788608845,gha
1788609000,66dce8db-0aca-11e7-82f6-3863bb44ef7c,3,2,1,35,3,0,1,1,1788608863,gha
1788609000,66db9e99-0aca-11e7-82f6-3863bb44ef7c,6,1,5,4,1,0,1,1,1788608867,gha
1788609000,63a838a8-9acf-4ba1-91f5-c676f6ef2f7d,17,7,10,2,1,0,1,1,1788608870,gha
1788609000,66dd1f44-0aca-11e7-82f6-3863bb44ef7c,23,15,8,3,1,0,1,1,1788608875,gha
1788609000,66dd1c7f-0aca-11e7-82f6-3863bb44ef7c,38,19,19,7,5,0,1,1,1788608879,gha
1788609000,6d766daf-9298-4059-a329-1818582d495f,6,2,4,13,0,0,1,1,1788608881,gha
1788609000,84a7baff-415b-4ab9-a859-74c2801483ce,8,2,6,8,2,1,1,1,1788608896,gha
1788609000,66dc3ab9-0aca-11e7-82f6-3863bb44ef7c,47,1,46,12,5,0,1,1,1788608899,gha
