ts_bucket,station_id,bikes,ebikes,classic,docks,bikes_disabled,docks_disabled,is_renting,is_returning,last_reported,src
1788620100,498d7e8e-5164-4f26-9ce6-399947d73b1a,5,4,1,9,3,0,1,1,1788619978,gha
1788620100,66dce9b5-0aca-11e7-82f6-3863bb44ef7c,26,12,14,5,1,0,1,1,1788619991,gha
1788620100,66dd2060-0aca-11e7-82f6-3863bb44ef7c,28,23,5,22,0,0,1,1,1788619990,gha
1788620100,2100948436010992354,10,6,4,6,1,0,1,1,1788619989,gha
1788620100,66dd217d-0aca-11e7-82f6-3863bb44ef7c,6,3,3,18,3,0,1,1,1788620011,gha
1788620100,66dbec40-0aca-11e7-82f6-3863bb44ef7c,34,11,23,19,2,0,1,1,1788619964,gha
1788620100,1871698223344654662,7,1,6,18,0,0,1,1,1788619965,gha
1788620100,66db9e99-0aca-11e7-82f6-3863bb44ef7c,7,5,2,4,1,0,1,1,1788619967,gha
1788620100,9394fb49-583f-4426-8d2f-a2b0ffb584d2,24,10,14,25,0,0,1,1,1788619973,gha
1788620100,75352ab4-8a31-4926-8b59-048a9e506452,14,8,6,3,0,0,1,1,1788619993,gha
1788620100,66db93a1-0aca-11e7-82f6-3863bb44ef7c,0,0,0,0,32,3,0,0,1788619997,gha
1788620100,457ea5d7-d643-4028-87db-46dee0b81555,8,2,6,27,5,0,1,1,1788620018,gha
1788620100,66dd01c5-0aca-11e7-82f6-3863bb44ef7c,15,12,3,6,6,0,1,1,1788620018,gha
1788620100,e35c42c6-8b73-4528-b08d-c94b75624b40,5,0,5,10,4,0,1,1,1788620028,gha
1788620100,66db76a1-0aca-11e7-82f6-3863bb44ef7c,37,11,26,21,0,0,1,1,1788620027,gha
1788620100,f401cd5f-cb41-41f8-a857-4a4dfe778f94,13,2,11,11,2,0,1,1,1788620032,gha
1788620100,66dc0f8a-0aca-11e7-82f6-3863bb44ef7c,41,14,27,13,1,1,1,1,1788620046,gha
1788620100,66dd1f44-0aca-11e7-82f6-3863bb44ef7c,26,19,7,0,1,0,1,1,1788620043,gha
1788620100,1814548067447122618,18,1,17,17,0,0,1,1,1788620042,gha
1788620100,66dc3ab9-0aca-11e7-82f6-3863bb44ef7c,55,7,48,3,5,0,1,1,1788620067,gha
1788620100,1871698348432996504,11,7,4,9,2,0,1,1,1788620071,gha
1788620100,3a89411a-0bc6-4ba3-bc56-fab950c8eba1,20,0,20,1,0,0,1,1,1788620020,gha
1788620100,1786698321265653818,26,9,17,10,4,0,1,1,1788620023,gha
1788620100,66dce8db-0aca-11e7-82f6-3863bb44ef7c,6,6,0,31,4,0,1,1,1788620035,gha
1788620100,63a838a8-9acf-4ba1-91f5-c676f6ef2f7d,17,5,12,2,1,0,1,1,1788620035,gha
1788620100,d89dc10f-9be3-45a5-9c3c-06c04c963436,0,0,0,21,0,0,1,1,1788620035,gha
