ts_bucket,station_id,bikes,ebikes,classic,docks,bikes_disabled,docks_disabled,is_renting,is_returning,last_reported,src
1789842600,1871698223344654662,17,1,16,6,2,0,1,1,1789842429,gha
1789842600,f833d403-2cf5-424a-a3b3-0314a44b4a67,24,4,20,15,7,0,1,1,1789842505,gha
1789842600,bfe5e69d-89ff-48b3-bf20-80cbdfa443e0,5,3,2,47,2,0,1,1,1789842505,gha
1789842600,c4e9905f-457b-4be0-a878-2aa53fa0b09b,13,11,2,8,3,0,1,1,1789842508,gha
1789842600,81bec993-29a5-4e70-8f60-eecdf16c7be4,2,2,0,25,3,0,1,1,1789842501,gha
1789842600,66dce9b5-0aca-11e7-82f6-3863bb44ef7c,4,2,2,26,2,0,1,1,1789842502,gha
1789842600,1814548067447122618,30,11,19,2,3,0,1,1,1789842510,gha
1789842600,66dd1f44-0aca-11e7-82f6-3863bb44ef7c,21,11,10,2,4,0,1,1,1789842514,gha
1789842600,66dbc37a-0aca-11e7-82f6-3863bb44ef7c,17,1,16,36,6,1,1,1,1789842512,gha
1789842600,66dd217d-0aca-11e7-82f6-3863bb44ef7c,10,1,9,13,3,0,1,1,1789842513,gha
1789842600,66db93a1-0aca-11e7-82f6-3863bb44ef7c,15,4,11,13,6,0,1,1,1789842517,gha
1789842600,f401cd5f-cb41-41f8-a857-4a4dfe778f94,6,1,5,15,6,0,1,1,1789842517,gha
1789842600,498d7e8e-5164-4f26-9ce6-399947d73b1a,10,7,3,7,0,0,1,1,1789842516,gha
1789842600,1871698348432996504,15,6,9,7,1,0,1,1,1789842525,gha
1789842600,66db76a1-0aca-11e7-82f6-3863bb44ef7c,55,6,49,38,0,0,1,1,1789842529,gha
1789842600,63a838a8-9acf-4ba1-91f5-c676f6ef2f7d,10,2,8,9,1,0,1,1,1789842528,gha
1789842600,9394fb49-583f-4426-8d2f-a2b0ffb584d2,36,7,29,13,2,0,1,1,1789842529,gha
1789842600,e35c42c6-8b73-4528-b08d-c94b75624b40,13,1,12,5,1,0,1,1,1789842534,gha
1789842600,ab6aadd8-fa45-43aa-abea-c8e01ec5a0c8,14,5,9,3,5,0,1,1,1789842531,gha
1789842600,1786698974100683436,46,36,10,0,6,0,1,1,1789842531,gha
1789842600,d89dc10f-9be3-45a5-9c3c-06c04c963436,8,4,4,7,6,0,1,1,1789842530,gha
1789842600,66dd01c5-0aca-11e7-82f6-3863bb44ef7c,20,20,0,1,6,0,1,1,1789842529,gha
1789842600,66dc0f8a-0aca-11e7-82f6-3863bb44ef7c,31,3,28,22,5,0,1,1,1789842529,gha
1789842600,75352ab4-8a31-4926-8b59-048a9e506452,2,0,2,13,2,0,1,1,1789842536,gha
1789842600,66dd1c7f-0aca-11e7-82f6-3863bb44ef7c,43,26,17,1,2,0,1,1,1789842536,gha
1789842600,d11b9869-8964-4b79-aafc-4b60ad1b44c4,5,1,4,16,2,0,1,1,1789842535,gha
1789842600,66dbec40-0aca-11e7-82f6-3863bb44ef7c,24,5,19,29,2,0,1,1,1789842535,gha
1789842600,66db9e99-0aca-11e7-82f6-3863bb44ef7c,6,3,3,5,4,0,1,1,1789842440,gha
1789842600,66dc3ab9-0aca-11e7-82f6-3863bb44ef7c,60,47,13,0,3,0,1,1,1789842439,gha
1789842600,1786700154621508184,17,5,12,10,1,0,1,1,1789842449,gha
1789842600,2100948436010992354,9,2,7,5,3,0,1,1,1789842453,gha
1789842600,6d766daf-9298-4059-a329-1818582d495f,8,2,6,9,2,0,1,1,1789842455,gha
1789842600,66dce8db-0aca-11e7-82f6-3863bb44ef7c,6,0,6,32,2,0,1,1,1789842462,gha
1789842600,66de73fd-0aca-11e7-82f6-3863bb44ef7c,1,0,1,21,3,0,1,1,1789842461,gha
1789842600,66dc3782-0aca-11e7-82f6-3863bb44ef7c,24,20,4,2,4,0,1,1,1789842478,gha
1789842600,66dced76-0aca-11e7-82f6-3863bb44ef7c,1,0,1,23,2,0,1,1,1789842471,gha
1789842600,457ea5d7-d643-4028-87db-46dee0b81555,26,12,14,8,5,0,1,1,1789842485,gha
1789842600,84a7baff-415b-4ab9-a859-74c2801483ce,8,6,2,11,0,0,1,1,1789842499,gha
1789842600,3a89411a-0bc6-4ba3-bc56-fab950c8eba1,17,5,12,2,2,0,1,1,1789842541,gha
1789842600,66dd1d0f-0aca-11e7-82f6-3863bb44ef7c,26,12,14,0,5,0,1,1,1789842539,gha
1789842600,18415ea7-efce-408d-bcb9-4693fb088dda,16,6,10,14,4,0,1,1,1789842542,gha
1789842600,c7604869-5b55-40cf-812e-fc97901bdf14,6,0,6,35,3,0,1,1,1789842544,gha
1789842600,66dd17a5-0aca-11e7-82f6-3863bb44ef7c,48,12,36,0,2,0,1,1,1789842540,gha
1789842600,1786698321265653818,11,8,3,27,4,0,1,1,1789842543,gha
1789842600,66dd2060-0aca-11e7-82f6-3863bb44ef7c,30,5,25,15,5,0,1,1,1789842545,gha
1789842600,66dd1d9c-0aca-11e7-82f6-3863bb44ef7c,21,16,5,0,7,0,1,1,1789842546,gha
1789842600,66dd056e-0aca-11e7-82f6-3863bb44ef7c,8,1,7,10,0,0,1,1,1789842547,gha
1789842600,66db6f2e-0aca-11e7-82f6-3863bb44ef7c,24,6,18,14,6,0,1,1,1789842546,gha
1789842600,1786697771181570266,41,2,39,0,4,0,1,1,1789842547,gha
1789842600,66dbc420-0aca-11e7-82f6-3863bb44ef7c,22,3,19,23,5,1,1,1,1789842548,gha
1789842600,66dea52b-0aca-11e7-82f6-3863bb44ef7c,16,9,7,14,2,0,1,1,1789842467,gha
1789842600,1908785111291682996,6,2,4,13,0,0,1,1,1789842467,gha
1789842600,467e1de6-73a6-480f-9e83-fd1b03b71047,24,19,5,0,0,0,1,1,1789842509,gha
1789842600,1786699974232881542,7,3,4,11,1,0,1,1,1789842480,gha
1789842600,66dd20eb-0aca-11e7-82f6-3863bb44ef7c,10,5,5,24,1,0,1,1,1789842478,gha
1789842600,66db46d7-0aca-11e7-82f6-3863bb44ef7c,13,0,13,10,6,0,1,1,1789842491,gha
1789842600,66dce4fc-0aca-11e7-82f6-3863bb44ef7c,16,0,16,10,3,0,1,1,1789842501,gha
1789842600,66db9cc4-0aca-11e7-82f6-3863bb44ef7c,33,7,26,3,3,0,1,1,1789842497,gha
1789842600,2868db5b-df51-4c36-8515-ef77a5b092c2,16,8,8,0,3,0,1,1,1789842498,gha
1789842600,9b721468-3b28-429d-9e13-580cdf00a6a4,23,21,2,2,1,1,1,1,1789842506,gha
1789842600,66db6889-0aca-11e7-82f6-3863bb44ef7c,27,3,24,0,7,0,1,1,1789842507,gha
1789842600,2104278402820534724,32,1,31,8,3,0,1,1,1789842516,gha
1789842600,66dcf640-0aca-11e7-82f6-3863bb44ef7c,18,12,6,6,1,0,1,1,1789842519,gha
1789842600,1786697932047949952,12,10,2,12,0,0,1,1,1789842519,gha
1789842600,7a771842-c090-4da1-8c13-72b7f4f50a87,31,13,18,0,4,0,1,1,1789842520,gha
1789842600,1786697528321024934,39,12,27,2,3,0,1,1,1789842523,gha
1789842600,145bbc0d-8976-45ae-9565-158ba564d3d1,17,2,15,4,5,1,1,1,1789842529,gha
1789842600,a958a8af-a0cc-4bca-9114-93c74ce3c693,10,0,10,12,0,0,1,1,1789842530,gha
1789842600,f3b359e2-7983-4aaf-b6b0-e3b7d30816a4,17,1,16,0,2,0,1,1,1789842529,gha
1789842600,bd30f2a1-38ec-474d-9e36-07f688e87427,13,10,3,0,5,0,1,1,1789842526,gha
1789842600,66dcf023-0aca-11e7-82f6-3863bb44ef7c,4,3,1,13,4,0,1,1,1789842535,gha
1789842600,4168e5a4-c7ec-4045-bfc8-84ac5edbe845,34,14,20,4,5,0,1,1,1789842538,gha
1789842600,99142ec8-c0e7-47ca-916c-c1097d48e133,32,6,26,3,8,0,1,1,1789842537,gha
1789842600,29223935-a682-411c-9f25-577bbb9804fc,17,2,15,1,2,0,1,1,1789842539,gha
1789842600,1786687245202023014,29,2,27,4,2,0,1,1,1789842544,gha
1789842600,66dc8768-0aca-11e7-82f6-3863bb44ef7c,19,14,5,15,13,0,1,1,1789842545,gha
1789842600,66dd18dd-0aca-11e7-82f6-3863bb44ef7c,22,8,14,1,3,0,1,1,1789842541,gha
1789842600,1786375597504305174,36,8,28,3,2,0,1,1,1789842542,gha
1789842600,b03adb87-2bd9-43a5-a822-7d06a9ee2d81,22,1,21,3,4,0,1,1,1789842545,gha
1789842600,66dbf062-0aca-11e7-82f6-3863bb44ef7c,35,22,13,1,4,0,1,1,1789842546,gha
1789842600,1786696564295760054,19,11,8,7,2,0,1,1,1789842548,gha
1789842600,1786697166576476490,44,36,8,1,3,0,1,1,1789842547,gha
1789842600,d52d4171-fd60-4a28-b7e2-89f3693e0591,11,4,7,7,0,0,1,1,1789842549,gha
1789842600,1875672501601550456,10,0,10,5,3,0,1,1,1789842430,gha
1789842600,2098714441479661752,3,0,3,11,1,0,1,1,1789842457,gha
1789842600,cac843c2-8b21-47bb-a3b9-712f95d7f7aa,17,2,15,3,0,0,1,1,1789842459,gha
1789842600,66dcac42-0aca-11e7-82f6-3863bb44ef7c,71,31,40,1,7,0,1,1,1789842472,gha
1789842600,66dea596-0aca-11e7-82f6-3863bb44ef7c,1,1,0,23,1,0,1,1,1789842486,gha
1789842600,2256067489208956714,36,14,22,0,1,0,1,1,1789842445,gha
1789842600,66db4671-0aca-11e7-82f6-3863bb44ef7c,0,0,0,0,41,0,0,0,1789842450,gha
1789842600,f3c68cfb-52fd-48c8-b6e5-85c179fee0b3,14,2,12,5,4,0,1,1,1789842499,gha
1789842600,b62bcd96-c2db-447c-bdd5-d3c18f174858,15,13,2,1,3,0,1,1,1789842462,gha
1789842600,be8e6f1c-e8b5-40bd-896d-423052ba3bbc,6,6,0,11,0,0,1,1,1789842480,gha
1789842600,66dc192f-0aca-11e7-82f6-3863bb44ef7c,5,1,4,16,2,0,1,1,1789842481,gha
1789842600,66dc4599-0aca-11e7-82f6-3863bb44ef7c,13,11,2,8,4,0,1,1,1789842479,gha
1789842600,8ea09819-cd88-4732-b047-c0549f0b370f,28,12,16,0,3,0,1,1,1789842482,gha
1789842600,66dc76cd-0aca-11e7-82f6-3863bb44ef7c,6,0,6,17,0,0,1,1,1789842505,gha
1789842600,063e7e78-b810-4a2f-8045-a82a0d69d752,41,11,30,1,3,0,1,1,1789842505,gha
1789842600,66dd2208-0aca-11e7-82f6-3863bb44ef7c,12,0,12,27,1,0,1,1,1789842505,gha
1789842600,bfbd1f09-afd2-49d2-8674-3a07b3c929a4,17,10,7,4,1,0,1,1,1789842499,gha
1789842600,66dce567-0aca-11e7-82f6-3863bb44ef7c,4,2,2,18,1,0,1,1,1789842509,gha
1789842600,1786697003367719132,35,9,26,2,3,0,1,1,1789842513,gha
1789842600,1786696384892428996,1,0,1,18,2,0,1,1,1789842513,gha
1789842600,e612122d-e0fd-4ebf-8d51-0f48f9d1b580,13,6,7,7,3,0,1,1,1789842513,gha
1789842600,66db64d1-0aca-11e7-82f6-3863bb44ef7c,4,1,3,14,1,0,1,1,1789842513,gha
1789842600,66dd039b-0aca-11e7-82f6-3863bb44ef7c,20,19,1,5,4,0,1,1,1789842512,gha
1789842600,de6f4206-3aa9-4cb9-aae0-8547d2cd6854,20,2,18,2,1,0,1,1,1789842519,gha
1789842600,d5d589e6-457f-4cd4-bf78-59165dce28b2,3,1,2,20,4,0,1,1,1789842519,gha
1789842600,1899178885660253096,13,1,12,13,1,0,1,1,1789842516,gha
1789842600,66dd1846-0aca-11e7-82f6-3863bb44ef7c,42,12,30,1,4,0,1,1,1789842526,gha
