hour_local,temp_f,apparent_f,precip_mm,rain_mm,snow_cm,wind_kmh,gust_kmh,humidity,cloud_pct,weather_code
2026-08-12T00:00,76.2,82.2,0.0,0.0,0.0,7.2,17.6,81,100,3
2026-08-12T01:00,75.1,81.2,0.0,0.0,0.0,6.3,18.7,83,7,0
2026-08-12T02:00,74.1,78.4,0.0,0.0,0.0,7.7,23.4,78,90,3
2026-08-12T03:00,72.8,76.6,0.0,0.0,0.0,4.9,19.4,74,6,0
2026-08-12T04:00,71.4,73.6,0.0,0.0,0.0,7.4,19.4,72,99,3
2026-08-12T05:00,70.9,73.1,0.0,0.0,0.0,7.1,18.4,73,5,0
2026-08-12T06:00,71.0,72.7,0.0,0.0,0.0,7.9,19.4,70,34,1
2026-08-12T07:00,71.0,72.6,0.0,0.0,0.0,9.2,20.9,72,23,1
2026-08-12T08:00,71.3,73.0,0.0,0.0,0.0,8.1,23.0,70,99,3
2026-08-12T09:00,74.6,75.5,0.0,0.0,0.0,8.9,26.3,60,0,0
2026-08-12T10:00,77.2,78.0,0.0,0.0,0.0,9.4,24.8,55,0,0
2026-08-12T11:00,79.7,82.0,0.0,0.0,0.0,7.6,17.6,48,0,0
2026-08-12T12:00,83.0,86.8,0.0,0.0,0.0,8.7,18.0,46,0,0
2026-08-12T13:00,85.9,88.5,0.0,0.0,0.0,12.1,22.3,39,0,0
2026-08-12T14:00,85.5,87.4,0.0,0.0,0.0,10.0,13.3,41,0,0
2026-08-12T15:00,86.9,90.1,0.0,0.0,0.0,7.4,11.2,38,0,0
2026-08-12T16:00,87.2,89.5,0.0,0.0,0.0,5.2,11.2,37,0,0
2026-08-12T17:00,87.4,86.3,0.0,0.0,0.0,8.8,12.2,32,0,0
2026-08-12T18:00,84.3,85.5,0.0,0.0,0.0,6.2,14.0,42,10,0
2026-08-12T19:00,80.2,82.3,0.0,0.0,0.0,8.0,14.4,54,0,0
2026-08-12T20:00,78.2,79.7,0.0,0.0,0.0,7.6,15.5,54,62,2
2026-08-12T21:00,74.7,77.8,0.0,0.0,0.0,7.4,23.0,69,1,0
2026-08-12T22:00,74.6,76.5,0.0,0.0,0.0,9.7,15.5,66,19,0
2026-08-12T23:00,74.8,77.1,0.0,0.0,0.0,8.3,26.6,66,22,1
2026-08-13T00:00,73.3,74.9,0.0,0.0,0.0,11.9,25.9,71,98,3
2026-08-13T01:00,73.7,76.2,0.0,0.0,0.0,10.3,27.0,73,0,0
2026-08-13T02:00,74.2,77.9,0.0,0.0,0.0,9.5,22.7,77,77,2
2026-08-13T03:00,73.7,75.7,0.0,0.0,0.0,14.7,28.4,76,34,1
2026-08-13T04:00,72.9,78.9,0.0,0.0,0.0,4.2,16.9,85,100,3
2026-08-13T05:00,73.7,79.4,0.0,0.0,0.0,5.0,15.5,83,50,2
2026-08-13T06:00,72.2,77.4,0.0,0.0,0.0,6.2,23.0,86,10,0
2026-08-13T07:00,73.5,79.4,0.0,0.0,0.0,7.1,15.1,88,0,0
2026-08-13T08:00,75.2,79.5,0.0,0.0,0.0,14.1,23.4,84,0,0
2026-08-13T09:00,76.8,80.1,0.0,0.0,0.0,15.9,21.6,77,0,0
2026-08-13T10:00,78.2,83.1,0.0,0.0,0.0,11.5,19.4,76,8,0
2026-08-13T11:00,81.3,86.7,0.0,0.0,0.0,13.0,19.1,66,5,0
2026-08-13T12:00,82.8,89.9,0.0,0.0,0.0,9.4,18.0,62,100,3
2026-08-13T13:00,84.8,89.3,0.0,0.0,0.0,13.4,18.7,56,31,1
2026-08-13T14:00,85.1,86.6,0.0,0.0,0.0,16.0,21.2,52,24,1
2026-08-13T15:00,86.5,87.9,0.0,0.0,0.0,16.3,23.0,47,32,1
2026-08-13T16:00,86.3,89.2,0.0,0.0,0.0,12.9,24.1,49,30,1
2026-08-13T17:00,87.2,87.1,0.0,0.0,0.0,15.9,24.5,43,6,0
2026-08-13T18:00,85.4,86.1,0.0,0.0,0.0,14.0,29.9,46,0,0
2026-08-13T19:00,84.7,85.8,0.0,0.0,0.0,9.3,20.9,44,0,0
2026-08-13T20:00,80.0,81.1,0.0,0.0,0.0,9.3,20.2,51,68,2
2026-08-13T21:00,79.5,81.5,0.0,0.0,0.0,6.5,13.0,53,5,0
2026-08-13T22:00,78.0,80.4,0.0,0.0,0.0,7.7,18.4,59,82,3
2026-08-13T23:00,75.8,79.9,0.0,0.0,0.0,6.1,15.8,70,62,2
2026-08-14T00:00,75.5,78.3,0.0,0.0,0.0,7.6,23.4,66,1,0
